Level,EnemyHP,EnemyRateOfFireMin,EnemyRateOfFireMax,EnemySpeed,EnemyMissileSpeed,EnemyMissileDamage,EnemyCollisionWithPlayerDamage,AsteroidBeltFrequency,AsteroidBeltDamage,AsteroidBeltSpeed,SpinningMineAppearFreq,SpinningMineHP,SpinningMineLaserDamage,Boss01HP,Boss01MissileDamage,Boss01MissileFreq
27,13.20505051,0.173737374,1.553535354,8.939393939,12.62626263,33.63636364,33.63636364,-1,-1,8.939393939,-1,27,-1,53.26262626,-1,-1
28,13.70909091,0.172727273,1.536363636,9.090909091,12.72727273,34.54545455,34.54545455,-1,-1,9.090909091,-1,28,-1,55.27272727,-1,-1
29,14.21313131,0.171717172,1.519191919,9.242424242,12.82828283,35.45454545,35.45454545,-1,-1,9.242424242,-1,29,-1,57.28282828,-1,-1
30,14.71717172,0.170707071,1.502020202,9.393939394,12.92929293,36.36363636,36.36363636,-1,-1,9.393939394,-1,30,-1,59.29292929,-1,-1
31,15.22121212,0.16969697,1.484848485,9.545454545,13.03030303,37.27272727,37.27272727,-1,-1,9.545454545,-1,31,-1,61.3030303,-1,-1
32,15.72525253,0.168686869,1.467676768,9.696969697,13.13131313,38.18181818,38.18181818,-1,-1,9.696969697,-1,32,-1,63.31313131,-1,-1
33,16.22929293,0.167676768,1.450505051,9.848484848,13.23232323,39.09090909,39.09090909,-1,-1,9.848484848,-1,33,-1,65.32323232,-1,-1
34,16.73333333,0.166666667,1.433333333,10,13.33333333,40,40,-1,-1,10,-1,34,-1,67.33333333,-1,-1
35,17.23737374,0.165656566,1.416161616,10.15151515,13.43434343,40.90909091,40.90909091,-1,-1,10.15151515,-1,35,-1,69.34343434,-1,-1
36,17.74141414,0.164646465,1.398989899,10.3030303,13.53535354,41.81818182,41.81818182,-1,-1,10.3030303,-1,36,-1,71.35353535,-1,-1
37,18.24545455,0.163636364,1.381818182,10.45454545,13.63636364,42.72727273,42.72727273,-1,-1,10.45454545,-1,37,-1,73.36363636,-1,-1
38,18.74949495,0.162626263,1.364646465,10.60606061,13.73737374,43.63636364,43.63636364,-1,-1,10.60606061,-1,38,-1,75.37373737,-1,-1
39,19.25353535,0.161616162,1.347474747,10.75757576,13.83838384,44.54545455,44.54545455,-1,-1,10.75757576,-1,39,-1,77.38383838,-1,-1
40,19.75757576,0.160606061,1.33030303,10.90909091,13.93939394,45.45454545,45.45454545,-1,-1,10.90909091,-1,40,-1,79.39393939,-1,-1
41,20.26161616,0.15959596,1.313131313,11.06060606,14.04040404,46.36363636,46.36363636,-1,-1,11.06060606,-1,41,-1,81.4040404,-1,-1
42,20.76565657,0.158585859,1.295959596,11.21212121,14.14141414,47.27272727,47.27272727,-1,-1,11.21212121,-1,42,-1,83.41414141,-1,-1
43,21.26969697,0.157575758,1.278787879,11.36363636,14.24242424,48.18181818,48.18181818,-1,-1,11.36363636,-1,43,-1,85.42424242,-1,-1
44,21.77373737,0.156565657,1.261616162,11.51515152,14.34343434,49.09090909,49.09090909,-1,-1,11.51515152,-1,44,-1,87.43434343,-1,-1
45,22.27777778,0.155555556,1.244444444,11.66666667,14.44444444,50,50,-1,-1,11.66666667,-1,45,-1,89.44444444,-1,-1
46,22.78181818,0.154545455,1.227272727,11.81818182,14.54545455,50.90909091,50.90909091,-1,-1,11.81818182,-1,46,-1,91.45454545,-1,-1
47,23.28585859,0.153535354,1.21010101,11.96969697,14.64646465,51.81818182,51.81818182,-1,-1,11.96969697,-1,47,-1,93.46464646,-1,-1
48,23.78989899,0.152525253,1.192929293,12.12121212,14.74747475,52.72727273,52.72727273,-1,-1,12.12121212,-1,48,-1,95.47474747,-1,-1
49,24.29393939,0.151515152,1.175757576,12.27272727,14.84848485,53.63636364,53.63636364,-1,-1,12.27272727,-1,49,-1,97.48484848,-1,-1
50,24.7979798,0.150505051,1.158585859,12.42424242,14.94949495,54.54545455,54.54545455,-1,-1,12.42424242,-1,50,-1,99.49494949,-1,-1
51,25.3020202,0.149494949,1.141414141,12.57575758,15.05050505,55.45454545,55.45454545,-1,-1,12.57575758,-1,51,-1,101.5050505,-1,-1
52,25.80606061,0.148484848,1.124242424,12.72727273,15.15151515,56.36363636,56.36363636,-1,-1,12.72727273,-1,52,-1,103.5151515,-1,-1
53,26.31010101,0.147474747,1.107070707,12.87878788,15.25252525,57.27272727,57.27272727,-1,-1,12.87878788,-1,53,-1,105.5252525,-1,-1
54,26.81414141,0.146464646,1.08989899,13.03030303,15.35353535,58.18181818,58.18181818,-1,-1,13.03030303,-1,54,-1,107.5353535,-1,-1
55,27.31818182,0.145454545,1.072727273,13.18181818,15.45454545,59.09090909,59.09090909,-1,-1,13.18181818,-1,55,-1,109.5454545,-1,-1
56,27.82222222,0.144444444,1.055555556,13.33333333,15.55555556,60,60,-1,-1,13.33333333,-1,56,-1,111.5555556,-1,-1
57,28.32626263,0.143434343,1.038383838,13.48484848,15.65656566,60.90909091,60.90909091,-1,-1,13.48484848,-1,57,-1,113.5656566,-1,-1
58,28.83030303,0.142424242,1.021212121,13.63636364,15.75757576,61.81818182,61.81818182,-1,-1,13.63636364,-1,58,-1,115.5757576,-1,-1
59,29.33434343,0.141414141,1.004040404,13.78787879,15.85858586,62.72727273,62.72727273,-1,-1,13.78787879,-1,59,-1,117.5858586,-1,-1
60,29.83838384,0.14040404,0.986868687,13.93939394,15.95959596,63.63636364,63.63636364,-1,-1,13.93939394,-1,60,-1,119.5959596,-1,-1
61,30.34242424,0.139393939,0.96969697,14.09090909,16.06060606,64.54545455,64.54545455,-1,-1,14.09090909,-1,61,-1,121.6060606,-1,-1
62,30.84646465,0.138383838,0.952525253,14.24242424,16.16161616,65.45454545,65.45454545,-1,-1,14.24242424,-1,62,-1,123.6161616,-1,-1
63,31.35050505,0.137373737,0.935353535,14.39393939,16.26262626,66.36363636,66.36363636,-1,-1,14.39393939,-1,63,-1,125.6262626,-1,-1
64,31.85454545,0.136363636,0.918181818,14.54545455,16.36363636,67.27272727,67.27272727,-1,-1,14.54545455,-1,64,-1,127.6363636,-1,-1
65,32.35858586,0.135353535,0.901010101,14.6969697,16.46464646,68.18181818,68.18181818,-1,-1,14.6969697,-1,65,-1,129.6464646,-1,-1
66,32.86262626,0.134343434,0.883838384,14.84848485,16.56565657,69.09090909,69.09090909,-1,-1,14.84848485,-1,66,-1,131.6565657,-1,-1
67,33.36666667,0.133333333,0.866666667,15,16.66666667,70,70,-1,-1,15,-1,67,-1,133.6666667,-1,-1
68,33.87070707,0.132323232,0.849494949,15.15151515,16.76767677,70.90909091,70.90909091,-1,-1,15.15151515,-1,68,-1,135.6767677,-1,-1
69,34.37474747,0.131313131,0.832323232,15.3030303,16.86868687,71.81818182,71.81818182,-1,-1,15.3030303,-1,69,-1,137.6868687,-1,-1
70,34.87878788,0.13030303,0.815151515,15.45454545,16.96969697,72.72727273,72.72727273,-1,-1,15.45454545,-1,70,-1,139.6969697,-1,-1
71,35.38282828,0.129292929,0.797979798,15.60606061,17.07070707,73.63636364,73.63636364,-1,-1,15.60606061,-1,71,-1,141.7070707,-1,-1
72,35.88686869,0.128282828,0.780808081,15.75757576,17.17171717,74.54545455,74.54545455,-1,-1,15.75757576,-1,72,-1,143.7171717,-1,-1
73,36.39090909,0.127272727,0.763636364,15.90909091,17.27272727,75.45454545,75.45454545,-1,-1,15.90909091,-1,73,-1,145.7272727,-1,-1
74,36.89494949,0.126262626,0.746464646,16.06060606,17.37373737,76.36363636,76.36363636,-1,-1,16.06060606,-1,74,-1,147.7373737,-1,-1
75,37.3989899,0.125252525,0.729292929,16.21212121,17.47474747,77.27272727,77.27272727,-1,-1,16.21212121,-1,75,-1,149.7474747,-1,-1
76,37.9030303,0.124242424,0.712121212,16.36363636,17.57575758,78.18181818,78.18181818,-1,-1,16.36363636,-1,76,-1,151.7575758,-1,-1
77,38.40707071,0.123232323,0.694949495,16.51515152,17.67676768,79.09090909,79.09090909,-1,-1,16.51515152,-1,77,-1,153.7676768,-1,-1
78,38.91111111,0.122222222,0.677777778,16.66666667,17.77777778,80,80,-1,-1,16.66666667,-1,78,-1,155.7777778,-1,-1
79,39.41515152,0.121212121,0.660606061,16.81818182,17.87878788,80.90909091,80.90909091,-1,-1,16.81818182,-1,79,-1,157.7878788,-1,-1
80,39.91919192,0.12020202,0.643434343,16.96969697,17.97979798,81.81818182,81.81818182,-1,-1,16.96969697,-1,80,-1,159.7979798,-1,-1
81,40.42323232,0.119191919,0.626262626,17.12121212,18.08080808,82.72727273,82.72727273,-1,-1,17.12121212,-1,81,-1,161.8080808,-1,-1
82,40.92727273,0.118181818,0.609090909,17.27272727,18.18181818,83.63636364,83.63636364,-1,-1,17.27272727,-1,82,-1,163.8181818,-1,-1
83,41.43131313,0.117171717,0.591919192,17.42424242,18.28282828,84.54545455,84.54545455,-1,-1,17.42424242,-1,83,-1,165.8282828,-1,-1
84,41.93535354,0.116161616,0.574747475,17.57575758,18.38383838,85.45454545,85.45454545,-1,-1,17.57575758,-1,84,-1,167.8383838,-1,-1
85,42.43939394,0.115151515,0.557575758,17.72727273,18.48484848,86.36363636,86.36363636,-1,-1,17.72727273,-1,85,-1,169.8484848,-1,-1
86,42.94343434,0.114141414,0.54040404,17.87878788,18.58585859,87.27272727,87.27272727,-1,-1,17.87878788,-1,86,-1,171.8585859,-1,-1
87,43.44747475,0.113131313,0.523232323,18.03030303,18.68686869,88.18181818,88.18181818,-1,-1,18.03030303,-1,87,-1,173.8686869,-1,-1
88,43.95151515,0.112121212,0.506060606,18.18181818,18.78787879,89.09090909,89.09090909,-1,-1,18.18181818,-1,88,-1,175.8787879,-1,-1
89,44.45555556,0.111111111,0.488888889,18.33333333,18.88888889,90,90,-1,-1,18.33333333,-1,89,-1,177.8888889,-1,-1
90,44.95959596,0.11010101,0.471717172,18.48484848,18.98989899,90.90909091,90.90909091,-1,-1,18.48484848,-1,90,-1,179.8989899,-1,-1
91,45.46363636,0.109090909,0.454545455,18.63636364,19.09090909,91.81818182,91.81818182,-1,-1,18.63636364,-1,91,-1,181.9090909,-1,-1
92,45.96767677,0.108080808,0.437373737,18.78787879,19.19191919,92.72727273,92.72727273,-1,-1,18.78787879,-1,92,-1,183.9191919,-1,-1
93,46.47171717,0.107070707,0.42020202,18.93939394,19.29292929,93.63636364,93.63636364,-1,-1,18.93939394,-1,93,-1,185.9292929,-1,-1
94,46.97575758,0.106060606,0.403030303,19.09090909,19.39393939,94.54545455,94.54545455,-1,-1,19.09090909,-1,94,-1,187.9393939,-1,-1
95,47.47979798,0.105050505,0.385858586,19.24242424,19.49494949,95.45454545,95.45454545,-1,-1,19.24242424,-1,95,-1,189.9494949,-1,-1
96,47.98383838,0.104040404,0.368686869,19.39393939,19.5959596,96.36363636,96.36363636,-1,-1,19.39393939,-1,96,-1,191.959596,-1,-1
97,48.48787879,0.103030303,0.351515152,19.54545455,19.6969697,97.27272727,97.27272727,-1,-1,19.54545455,-1,97,-1,193.969697,-1,-1
98,48.99191919,0.102020202,0.334343434,19.6969697,19.7979798,98.18181818,98.18181818,-1,-1,19.6969697,-1,98,-1,195.979798,-1,-1
99,49.4959596,0.101010101,0.317171717,19.84848485,19.8989899,99.09090909,99.09090909,-1,-1,19.84848485,-1,99,-1,197.989899,-1,-1
100,50,0.1,0.3,20,20,100,100,-1,-1,20,-1,100,-1,200,-1,-1
